datetime,tempmax,tempmin,temp,humidity,precip,precipcover,preciptype,snow,windgust,windspeed,cloudcover,year,overall_AQI
2015-01-01,33.1,21.4,27.3,43.6,0.0,0.0,,0.0,26.3,18.1,46.0,2015,19.0
2015-01-02,39.8,30.8,35.0,44.8,0.0,0.0,,0.0,30.1,18.1,53.2,2015,56.0
2015-01-03,37.0,22.8,28.4,63.4,0.504,20.83,"rain,snow",0.0,27.7,21.2,76.8,2015,53.0
2015-01-04,51.1,35.9,41.3,95.8,0.692,62.5,rain,0.8,32.9,15.6,99.9,2015,31.0
2015-01-05,49.9,17.9,33.4,43.2,0.0,0.0,,0.0,49.1,29.7,35.7,2015,31.0
2015-01-06,18.0,14.8,16.3,60.0,0.022,8.33,snow,0.0,27.7,20.4,68.2,2015,30.0
2015-01-07,25.0,4.9,17.3,55.8,0.0,0.0,,0.0,38.8,27.5,46.2,2015,41.0
2015-01-08,18.0,-1.0,9.4,43.9,0.0,0.0,,0.0,27.7,18.2,23.0,2015,62.0
2015-01-09,29.0,19.0,24.7,60.5,0.011,4.17,"rain,snow",0.1,32.1,21.6,50.0,2015,51.0
2015-01-10,24.1,17.5,20.7,47.1,0.0,0.0,,0.0,25.5,16.1,23.8,2015,54.0
2015-01-11,31.9,14.9,23.2,46.0,0.0,0.0,,0.0,20.8,14.7,70.8,2015,57.0
2015-01-12,38.0,33.1,36.4,70.9,0.205,37.5,rain,0.0,21.0,14.8,100.0,2015,60.0
2015-01-13,35.1,15.0,23.2,48.6,0.0,0.0,,0.0,30.2,17.1,39.8,2015,63.0
2015-01-14,25.0,13.8,19.7,61.3,0.0,0.0,,0.0,20.1,12.5,99.3,2015,49.0
2015-01-15,30.7,25.0,27.1,84.6,0.12,20.83,"rain,snow",0.0,21.7,11.2,90.7,2015,72.0
2015-01-16,37.1,17.0,26.5,52.8,0.0,0.0,,0.0,39.0,23.0,30.7,2015,61.0
2015-01-17,21.8,8.7,16.2,40.9,0.0,0.0,,0.0,27.0,19.2,17.1,2015,53.0
2015-01-18,49.8,19.9,37.1,81.9,0.139,29.17,rain,0.0,51.4,20.7,93.0,2015,36.0
2015-01-19,46.1,33.1,39.4,69.1,0.014,8.33,rain,0.0,31.0,20.7,42.0,2015,55.0
2015-01-20,37.1,28.0,32.6,45.8,0.0,0.0,,0.0,26.6,17.1,45.0,2015,27.0
2015-01-21,33.9,21.5,27.1,54.8,0.0,0.0,,0.0,20.6,12.5,64.4,2015,34.0
2015-01-22,36.0,29.8,32.4,66.4,0.0,0.0,"rain,snow",0.1,19.0,10.1,74.2,2015,38.0
2015-01-23,36.0,24.0,30.4,53.3,0.0,0.0,,0.0,22.1,13.7,22.5,2015,47.0
2015-01-24,34.0,30.8,32.3,86.6,0.711,70.83,"rain,snow",3.7,29.3,14.8,96.9,2015,54.0
2015-01-25,38.0,21.8,32.1,58.4,0.0,0.0,,0.0,29.4,18.1,53.0,2015,72.0
2015-01-26,28.9,11.0,20.4,69.2,0.057,8.33,"rain,snow",0.1,37.4,28.2,97.4,2015,42.0
2015-01-27,19.1,13.9,15.8,84.5,0.938,79.17,snow,0.2,40.5,28.6,100.0,2015,42.0
2015-01-28,24.2,12.8,17.9,60.0,0.011,4.17,snow,0.3,25.3,17.3,69.9,2015,30.0
2015-01-29,30.8,13.1,22.6,57.3,0.0,0.0,,0.0,17.4,11.0,43.7,2015,43.0
2015-01-30,33.2,20.0,30.3,81.0,0.053,16.67,"rain,snow",0.6,41.2,29.8,100.0,2015,54.0
2015-01-31,20.9,11.0,16.2,48.3,0.0,0.0,snow,0.2,41.0,28.5,55.5,2015,57.0
2015-02-01,29.9,12.3,20.4,44.8,0.0,0.0,,0.0,27.7,19.3,48.1,2015,43.0
2015-02-02,30.5,10.1,18.4,80.9,0.766,75.0,"rain,snow",0.4,39.2,29.4,97.5,2015,53.0
2015-02-03,20.9,6.9,14.1,56.7,0.0,0.0,snow,0.1,29.4,22.7,29.4,2015,36.0
2015-02-04,38.0,14.4,27.1,63.9,0.011,4.17,rain,0.0,24.2,17.1,86.9,2015,46.0
2015-02-05,36.0,8.9,25.6,67.4,0.09,12.5,"rain,snow",0.4,35.5,22.8,77.3,2015,67.0
2015-02-06,20.0,4.5,12.9,52.9,0.0,0.0,,0.0,29.3,15.9,39.8,2015,55.0
